id,sender,subject,date,body
MSG-001,procurement@autopartscorp.com,Purchase Order ORD-101 & ORD-102 Confirmation,2026-04-25 17:00,"Dear YamaTech Sales Team, please find attached our confirmed purchase orders for Q2. ORD-101: 300 units of SKU-A (Premium Control Module) and ORD-102: 200 units of SKU-B (Standard Control Module). Both due by May 5th 2026. These will be integrated into our Kuala Lumpur assembly line. Please confirm receipt and production schedule at your earliest convenience."
MSG-002,orders@nexgenrobotics.io,New Order - SKU-C and SKU-D for Pilot Deployment,2026-04-25 17:01,"Hi YamaTech team, we are kicking off our pilot deployment across 3 factory sites and need the following: 150 units of SKU-C (Industrial Sensor Pack) and 100 units of SKU-D (Compact Drive Unit) by May 10th. This is our first large order with you. Delivery quality and timeliness is critical as we are presenting results to our investors in mid-May. Please confirm feasibility."
MSG-003,alerts@fastcompmetals.com,SUPPLY ALERT: Global Copper Winding Coil Shortage - Price Revision,2026-04-25 17:02,"Dear Valued Customer, we are writing to inform you of a significant tightening in the global supply of Copper Winding Coil (RAW-003) due to ongoing port disruptions in Southeast Asia and a major mine closure in Chile. Current stock at our warehouse is limited to approximately 600 units globally. We anticipate a 15-25% price increase effective May 1st. We strongly advise customers with upcoming production needs to place orders before April 28th to lock in current pricing of $8.75/unit. Quantities are allocated on a first-come, first-served basis."
MSG-004,procurement@autopartscorp.com,Order Revision Request - ORD-101 SKU-A Quantity Increase,2026-04-25 17:03,"Hi, following up on our purchase orders. We have just secured a downstream contract with a Tier-1 automotive manufacturer and need to increase our SKU-A order. Please revise ORD-101 from 300 units to 500 units of SKU-A. The due date of May 5th remains unchanged. We understand this is a significant increase on short notice and are prepared to pay a 5% expedite premium if needed. ORD-102 (SKU-B, 200 units) remains as-is. Please confirm you can accommodate this."
MSG-005,inventory@yamatech.com,RFQ - Microcontroller V2 (RAW-001) Urgent Restock,2026-04-25 17:04,"Dear GlobalTech Components, we require an urgent quote for Microcontroller V2 (RAW-001). Following a revision to a key customer order we now need approximately 1200-1400 units. Please provide pricing for both standard (14-day) and expedited delivery options. Current on-hand stock is sufficient for only a partial production run. We need delivery no later than April 30th to meet May 5th customer commitments. Regards, YamaTech Procurement."
MSG-006,sales@globaltech-components.com,RE: RFQ - Microcontroller V2 (RAW-001),2026-04-25 17:05,"Dear YamaTech Procurement, thank you for your inquiry. We can confirm availability of up to 1400 units of Microcontroller V2. Pricing: Standard delivery (14 days, arrives ~May 2nd): $15.50/unit. Expedited air freight (6 days, arrives ~April 26th): $16.50/unit. Minimum order quantity is 500 units. Please note our receiving cut-off for expedited orders is 3pm today (April 20th). We recommend the expedited option given your timeline. Total cost for 1400 units expedited: $23,100. Please confirm your purchase order number to proceed."
MSG-007,orders@nexgenrobotics.io,Order Amendment - Increase SKU-C Quantity,2026-04-25 17:06,"Hello YamaTech, good news on our end - we have received early approval to expand the pilot to a fourth factory site. We would like to increase our SKU-C order (ORD-104) from 150 units to 250 units. The May 10th deadline still holds. The SKU-D quantity of 100 units (ORD-105) is unchanged. We understand you may need to adjust production planning and we appreciate your flexibility. Please confirm the updated order is accepted."
MSG-008,production@yamatech.com,URGENT: RAW-001 Stock Critical - Production at Risk,2026-04-25 17:07,"Hi Inventory team, flagging an urgent issue. As of this morning our RAW-001 (Microcontroller V2) stock is down to 120 units. WO-001 (SKU-A production run, 80 units) is consuming the remaining stock and will fully deplete it by end of day tomorrow. WO-003 (SKU-B) cannot start until new RAW-001 arrives. SKU-C (WO-002) also requires RAW-001 and is currently paused. We are also seeing RAW-003 (Copper Winding Coil) dropping fast - currently at 280 units. WO-002 has already been slowed due to RAW-003 availability. If we do not receive a confirmed PO for RAW-001 and RAW-003 by end of week we will miss both the May 5th and May 10th deadlines. Please advise."
MSG-009,noreply@primematerials.com,RE: Tempered Glass Panel (RAW-004) - Out of Stock Notice,2026-04-25 17:08,"Dear YamaTech, we regret to inform you that our stock of Tempered Glass Panel (RAW-004) is fully depleted and we do not expect replenishment until late May at the earliest due to our furnace being taken offline for repairs. We sincerely apologize for the disruption. We suggest you contact ClearTech Glass Supply (cleartechglass@supply.com) who produces a compatible SKU-A-grade panel. Their lead time is typically 10-12 days. We will notify you as soon as our stock is restored. Thank you for your understanding."
MSG-010,inventory@yamatech.com,RFQ - Copper Winding Coil (RAW-003) Emergency Order,2026-04-25 17:09,"Dear FastComp Metals, following your supply alert on April 16th we now need to place an urgent order for Copper Winding Coil (RAW-003). We require approximately 1000-1200 units. Can you confirm how many units you can allocate to us at the current price of $8.75/unit before the May 1st price increase? We also need to understand delivery lead time as we have production runs blocked. Please respond urgently."
